
step 0: train loss 4.2874, val loss 4.2823
iter 730: loss 2.0508 BPC, time 52.44ms, mfu 7.08%
iter 740: loss 2.0673 BPC, time 52.43ms, mfu 7.08%
step 750: train loss 1.3588, val loss 1.5849
saving checkpoint to out-shakespeare-char
iter 750: loss 2.0599 BPC, time 7417.54ms, mfu 6.38%
iter 760: loss 2.0774 BPC, time 52.67ms, mfu 6.45%
iter 770: loss 2.0547 BPC, time 52.68ms, mfu 6.51%
iter 780: loss 2.0497 BPC, time 53.19ms, mfu 6.56%
iter 790: loss 2.0416 BPC, time 53.31ms, mfu 6.60%
iter 800: loss 2.0693 BPC, time 52.47ms, mfu 6.65%
iter 810: loss 2.0211 BPC, time 54.48ms, mfu 6.67%
iter 820: loss 2.0316 BPC, time 53.19ms, mfu 6.70%
iter 830: loss 1.9997 BPC, time 53.10ms, mfu 6.74%
iter 840: loss 2.0154 BPC, time 52.69ms, mfu 6.77%
iter 850: loss 2.0055 BPC, time 54.09ms, mfu 6.78%
iter 860: loss 2.0167 BPC, time 54.19ms, mfu 6.79%
iter 870: loss 2.0147 BPC, time 54.16ms, mfu 6.80%
iter 880: loss 1.9811 BPC, time 53.75ms, mfu 6.81%
iter 890: loss 2.0023 BPC, time 55.20ms, mfu 6.81%
iter 900: loss 1.9725 BPC, time 54.77ms, mfu 6.81%
iter 910: loss 1.9000 BPC, time 54.24ms, mfu 6.81%
iter 920: loss 1.9683 BPC, time 54.23ms, mfu 6.82%
iter 930: loss 1.9585 BPC, time 54.50ms, mfu 6.82%
iter 940: loss 1.9316 BPC, time 54.14ms, mfu 6.83%
iter 950: loss 1.9501 BPC, time 54.26ms, mfu 6.83%
iter 960: loss 1.9610 BPC, time 54.33ms, mfu 6.83%
iter 970: loss 1.9583 BPC, time 54.15ms, mfu 6.84%
iter 980: loss 1.9541 BPC, time 54.16ms, mfu 6.84%
iter 990: loss 1.9328 BPC, time 54.25ms, mfu 6.85%
step 1000: train loss 1.2671, val loss 1.5155
saving checkpoint to out-shakespeare-char
iter 1000: loss 1.9265 BPC, time 7722.94ms, mfu 6.17%
iter 1010: loss 1.9319 BPC, time 54.42ms, mfu 6.23%
iter 1020: loss 1.8810 BPC, time 54.23ms, mfu 6.30%
iter 1030: loss 1.9330 BPC, time 54.39ms, mfu 6.35%
iter 1040: loss 1.9551 BPC, time 53.94ms, mfu 6.41%
iter 1050: loss 1.8659 BPC, time 54.10ms, mfu 6.46%
iter 1060: loss 1.9322 BPC, time 53.69ms, mfu 6.50%
iter 1070: loss 1.9151 BPC, time 54.45ms, mfu 6.54%
iter 1080: loss 1.9152 BPC, time 55.09ms, mfu 6.56%
iter 1090: loss 1.9430 BPC, time 54.49ms, mfu 6.59%
iter 1100: loss 1.9094 BPC, time 55.13ms, mfu 6.61%
iter 1110: loss 1.8756 BPC, time 54.45ms, mfu 6.63%
iter 1120: loss 1.8569 BPC, time 55.11ms, mfu 6.64%
iter 1130: loss 1.8694 BPC, time 55.78ms, mfu 6.65%
iter 1140: loss 1.8708 BPC, time 54.51ms, mfu 6.67%
iter 1150: loss 1.8867 BPC, time 55.37ms, mfu 6.67%
iter 1160: loss 1.9189 BPC, time 56.17ms, mfu 6.67%
iter 1170: loss 1.8767 BPC, time 56.15ms, mfu 6.66%
iter 1180: loss 1.9114 BPC, time 56.20ms, mfu 6.66%
iter 1190: loss 1.8314 BPC, time 55.40ms, mfu 6.67%
iter 1200: loss 1.8560 BPC, time 56.23ms, mfu 6.66%
iter 1210: loss 1.8300 BPC, time 55.15ms, mfu 6.67%
iter 1220: loss 1.8783 BPC, time 56.14ms, mfu 6.67%
iter 1230: loss 1.8731 BPC, time 57.03ms, mfu 6.66%
iter 1240: loss 1.8713 BPC, time 57.27ms, mfu 6.64%
step 1250: train loss 1.2009, val loss 1.4874
saving checkpoint to out-shakespeare-char
iter 1250: loss 1.8411 BPC, time 7855.80ms, mfu 5.98%
iter 1260: loss 1.8483 BPC, time 58.32ms, mfu 6.02%
iter 1270: loss 1.8241 BPC, time 57.19ms, mfu 6.07%
iter 1280: loss 1.8094 BPC, time 57.61ms, mfu 6.11%
iter 1290: loss 1.8592 BPC, time 58.22ms, mfu 6.14%
iter 1300: loss 1.8808 BPC, time 57.48ms, mfu 6.17%
iter 1310: loss 1.7802 BPC, time 56.84ms, mfu 6.21%
iter 1320: loss 1.8772 BPC, time 57.71ms, mfu 6.24%
iter 1330: loss 1.8209 BPC, time 58.39ms, mfu 6.25%
Traceback (most recent call last):
  File "/root/Jack/nano-gpt/train.py", line 320, in <module>
    lossf = loss.item() * gradient_accumulation_steps
KeyboardInterrupt
