
step 0: train loss 12.5739 BPC, val loss 12.5744 BPC
iter 640: loss 2.7053 BPC, time 59.44ms, mfu 7.51%
iter 650: loss 2.6187 BPC, time 58.35ms, mfu 7.53%
iter 660: loss 2.7247 BPC, time 58.98ms, mfu 7.53%
iter 670: loss 2.6187 BPC, time 59.30ms, mfu 7.53%
iter 680: loss 2.5940 BPC, time 60.63ms, mfu 7.51%
iter 690: loss 2.6378 BPC, time 58.67ms, mfu 7.52%
iter 700: loss 2.5522 BPC, time 59.60ms, mfu 7.51%
iter 710: loss 2.5835 BPC, time 61.04ms, mfu 7.49%
iter 720: loss 2.4427 BPC, time 60.26ms, mfu 7.48%
iter 730: loss 2.4140 BPC, time 60.11ms, mfu 7.47%
iter 740: loss 2.5070 BPC, time 59.48ms, mfu 7.47%
step 750: train loss 2.3866 BPC, val loss 2.3799 BPC
saving checkpoint to out-enwik-char
iter 750: loss 2.5024 BPC, time 8335.04ms, mfu 6.73%
iter 760: loss 2.5632 BPC, time 61.03ms, mfu 6.79%
iter 770: loss 2.4782 BPC, time 62.41ms, mfu 6.82%
iter 780: loss 2.5093 BPC, time 63.15ms, mfu 6.85%
iter 790: loss 2.4644 BPC, time 62.81ms, mfu 6.87%
iter 800: loss 2.4810 BPC, time 62.27ms, mfu 6.90%
iter 810: loss 2.5521 BPC, time 61.87ms, mfu 6.93%
iter 820: loss 2.3536 BPC, time 62.85ms, mfu 6.94%
iter 830: loss 2.3902 BPC, time 62.90ms, mfu 6.96%
iter 840: loss 2.3706 BPC, time 63.39ms, mfu 6.96%
iter 850: loss 2.3990 BPC, time 64.41ms, mfu 6.96%
iter 860: loss 2.3848 BPC, time 63.72ms, mfu 6.96%
iter 870: loss 2.3288 BPC, time 62.83ms, mfu 6.97%
iter 880: loss 2.3775 BPC, time 63.02ms, mfu 6.98%
iter 890: loss 2.3618 BPC, time 62.32ms, mfu 7.00%
iter 900: loss 2.3749 BPC, time 64.31ms, mfu 6.99%
iter 910: loss 2.4295 BPC, time 61.56ms, mfu 7.02%
iter 920: loss 2.3060 BPC, time 64.75ms, mfu 7.00%
iter 930: loss 2.3008 BPC, time 63.10ms, mfu 7.01%
iter 940: loss 2.3792 BPC, time 63.91ms, mfu 7.00%
iter 950: loss 2.2882 BPC, time 64.19ms, mfu 7.00%
iter 960: loss 2.2520 BPC, time 62.90ms, mfu 7.00%
iter 970: loss 2.2043 BPC, time 63.84ms, mfu 7.00%
iter 980: loss 2.3516 BPC, time 62.98ms, mfu 7.01%
iter 990: loss 2.4413 BPC, time 65.67ms, mfu 6.99%
step 1000: train loss 2.1296 BPC, val loss 2.1453 BPC
saving checkpoint to out-enwik-char
iter 1000: loss 2.3071 BPC, time 8609.77ms, mfu 6.29%
iter 1010: loss 2.1598 BPC, time 59.55ms, mfu 6.41%
iter 1020: loss 2.2260 BPC, time 62.33ms, mfu 6.48%
iter 1030: loss 2.2166 BPC, time 65.56ms, mfu 6.51%
iter 1040: loss 2.2466 BPC, time 64.92ms, mfu 6.55%
iter 1050: loss 2.2251 BPC, time 64.27ms, mfu 6.59%
iter 1060: loss 2.2721 BPC, time 65.04ms, mfu 6.61%
iter 1070: loss 2.3030 BPC, time 66.15ms, mfu 6.62%
iter 1080: loss 2.3353 BPC, time 64.27ms, mfu 6.65%
iter 1090: loss 2.2590 BPC, time 63.95ms, mfu 6.69%
iter 1100: loss 2.2147 BPC, time 64.82ms, mfu 6.70%
iter 1110: loss 2.2924 BPC, time 65.45ms, mfu 6.71%
iter 1120: loss 2.2030 BPC, time 65.65ms, mfu 6.72%
iter 1130: loss 2.2727 BPC, time 65.16ms, mfu 6.73%
iter 1140: loss 2.1113 BPC, time 65.98ms, mfu 6.73%
iter 1150: loss 2.2229 BPC, time 65.30ms, mfu 6.74%
iter 1160: loss 2.0893 BPC, time 64.80ms, mfu 6.75%
iter 1170: loss 2.1512 BPC, time 65.75ms, mfu 6.76%
iter 1180: loss 2.1426 BPC, time 66.19ms, mfu 6.75%
iter 1190: loss 2.1318 BPC, time 64.28ms, mfu 6.77%
iter 1200: loss 2.1350 BPC, time 65.98ms, mfu 6.77%
iter 1210: loss 2.1288 BPC, time 66.65ms, mfu 6.76%
iter 1220: loss 2.1984 BPC, time 65.19ms, mfu 6.77%
iter 1230: loss 2.1044 BPC, time 66.28ms, mfu 6.76%
iter 1240: loss 2.1110 BPC, time 65.53ms, mfu 6.76%
step 1250: train loss 2.0188 BPC, val loss 2.0258 BPC
saving checkpoint to out-enwik-char
iter 1250: loss 2.1623 BPC, time 8798.74ms, mfu 6.09%
iter 1260: loss 2.1460 BPC, time 59.84ms, mfu 6.23%
iter 1270: loss 2.1352 BPC, time 67.60ms, mfu 6.26%
iter 1280: loss 2.1617 BPC, time 66.00ms, mfu 6.31%
iter 1290: loss 2.2010 BPC, time 67.01ms, mfu 6.35%
iter 1300: loss 2.1541 BPC, time 64.60ms, mfu 6.40%
iter 1310: loss 2.1192 BPC, time 66.38ms, mfu 6.43%
iter 1320: loss 2.1362 BPC, time 67.21ms, mfu 6.45%
iter 1330: loss 2.0862 BPC, time 67.33ms, mfu 6.47%
iter 1340: loss 2.1409 BPC, time 65.58ms, mfu 6.50%
iter 1350: loss 2.0791 BPC, time 66.64ms, mfu 6.52%
iter 1360: loss 2.1326 BPC, time 66.58ms, mfu 6.53%
iter 1370: loss 2.1084 BPC, time 67.94ms, mfu 6.54%
iter 1380: loss 2.0885 BPC, time 65.24ms, mfu 6.56%
iter 1390: loss 2.0534 BPC, time 65.93ms, mfu 6.58%
iter 1400: loss 2.1222 BPC, time 66.50ms, mfu 6.59%
iter 1410: loss 2.0814 BPC, time 68.01ms, mfu 6.59%
iter 1420: loss 2.1259 BPC, time 67.07ms, mfu 6.59%
iter 1430: loss 2.0739 BPC, time 67.77ms, mfu 6.59%
iter 1440: loss 2.1023 BPC, time 67.45ms, mfu 6.59%
iter 1450: loss 1.9913 BPC, time 67.60ms, mfu 6.59%
iter 1460: loss 2.1119 BPC, time 66.58ms, mfu 6.60%
iter 1470: loss 2.1536 BPC, time 68.24ms, mfu 6.59%
iter 1480: loss 2.1213 BPC, time 67.73ms, mfu 6.59%
iter 1490: loss 2.1715 BPC, time 67.22ms, mfu 6.59%
step 1500: train loss 1.9263 BPC, val loss 1.9394 BPC
saving checkpoint to out-enwik-char
iter 1500: loss 2.0976 BPC, time 9030.20ms, mfu 5.94%
iter 1510: loss 2.0625 BPC, time 67.57ms, mfu 6.01%
iter 1520: loss 2.0578 BPC, time 67.33ms, mfu 6.07%
iter 1530: loss 2.0990 BPC, time 69.15ms, mfu 6.10%
iter 1540: loss 2.1064 BPC, time 65.22ms, mfu 6.18%
iter 1550: loss 2.0626 BPC, time 67.31ms, mfu 6.22%
iter 1560: loss 2.0929 BPC, time 68.19ms, mfu 6.25%
iter 1570: loss 2.1350 BPC, time 65.82ms, mfu 6.30%
iter 1580: loss 2.0713 BPC, time 68.51ms, mfu 6.32%
iter 1590: loss 2.0391 BPC, time 67.16ms, mfu 6.35%
iter 1600: loss 2.1854 BPC, time 67.58ms, mfu 6.38%
iter 1610: loss 2.0336 BPC, time 65.67ms, mfu 6.42%
iter 1620: loss 1.9650 BPC, time 67.45ms, mfu 6.43%
iter 1630: loss 2.0416 BPC, time 66.60ms, mfu 6.46%
iter 1640: loss 2.0410 BPC, time 66.88ms, mfu 6.48%
iter 1650: loss 1.9638 BPC, time 66.88ms, mfu 6.50%
iter 1660: loss 2.0088 BPC, time 67.91ms, mfu 6.50%
iter 1670: loss 2.0683 BPC, time 64.88ms, mfu 6.54%
iter 1680: loss 2.0239 BPC, time 68.26ms, mfu 6.54%
iter 1690: loss 1.8890 BPC, time 65.96ms, mfu 6.56%
iter 1700: loss 1.8803 BPC, time 67.27ms, mfu 6.56%
iter 1710: loss 1.9561 BPC, time 66.27ms, mfu 6.58%
iter 1720: loss 1.9605 BPC, time 65.72ms, mfu 6.60%
iter 1730: loss 2.0148 BPC, time 67.78ms, mfu 6.60%
iter 1740: loss 2.0390 BPC, time 65.43ms, mfu 6.62%
step 1750: train loss 1.8802 BPC, val loss 1.8937 BPC
saving checkpoint to out-enwik-char
iter 1750: loss 1.9677 BPC, time 9009.56ms, mfu 5.96%
iter 1760: loss 1.9596 BPC, time 64.20ms, mfu 6.06%
iter 1770: loss 2.0250 BPC, time 66.41ms, mfu 6.12%
iter 1780: loss 2.0533 BPC, time 66.54ms, mfu 6.18%
iter 1790: loss 2.0972 BPC, time 67.21ms, mfu 6.22%
iter 1800: loss 1.9966 BPC, time 65.80ms, mfu 6.28%
iter 1810: loss 1.9966 BPC, time 67.06ms, mfu 6.31%
iter 1820: loss 2.0680 BPC, time 68.76ms, mfu 6.33%
iter 1830: loss 1.9952 BPC, time 64.78ms, mfu 6.38%
iter 1840: loss 2.0250 BPC, time 68.63ms, mfu 6.39%
iter 1850: loss 1.9398 BPC, time 65.89ms, mfu 6.43%
iter 1860: loss 1.9237 BPC, time 67.49ms, mfu 6.45%
iter 1870: loss 1.9760 BPC, time 66.97ms, mfu 6.47%
iter 1880: loss 2.0326 BPC, time 66.68ms, mfu 6.49%
iter 1890: loss 1.9883 BPC, time 69.14ms, mfu 6.48%
iter 1900: loss 1.9749 BPC, time 65.87ms, mfu 6.51%
iter 1910: loss 1.9142 BPC, time 66.27ms, mfu 6.53%
iter 1920: loss 1.9196 BPC, time 68.03ms, mfu 6.53%
iter 1930: loss 1.9955 BPC, time 67.36ms, mfu 6.54%
iter 1940: loss 2.0789 BPC, time 66.74ms, mfu 6.55%
iter 1950: loss 1.9078 BPC, time 65.98ms, mfu 6.57%
iter 1960: loss 1.9072 BPC, time 66.49ms, mfu 6.59%
iter 1970: loss 2.0352 BPC, time 67.67ms, mfu 6.58%
iter 1980: loss 1.9443 BPC, time 66.31ms, mfu 6.60%
iter 1990: loss 1.8622 BPC, time 67.58ms, mfu 6.60%
step 2000: train loss 1.8324 BPC, val loss 1.8489 BPC
saving checkpoint to out-enwik-char
iter 2000: loss 2.0474 BPC, time 9196.58ms, mfu 5.94%
iter 2010: loss 1.9307 BPC, time 63.03ms, mfu 6.05%
iter 2020: loss 2.0354 BPC, time 66.87ms, mfu 6.11%
iter 2030: loss 1.9510 BPC, time 66.31ms, mfu 6.17%
iter 2040: loss 1.9200 BPC, time 67.07ms, mfu 6.22%
iter 2050: loss 2.0023 BPC, time 65.43ms, mfu 6.28%
iter 2060: loss 1.9244 BPC, time 65.46ms, mfu 6.33%
iter 2070: loss 2.0624 BPC, time 67.78ms, mfu 6.35%
iter 2080: loss 1.9600 BPC, time 67.59ms, mfu 6.38%
iter 2090: loss 1.9363 BPC, time 66.30ms, mfu 6.41%
iter 2100: loss 1.8661 BPC, time 65.95ms, mfu 6.45%
iter 2110: loss 1.9676 BPC, time 68.72ms, mfu 6.45%
iter 2120: loss 1.9810 BPC, time 65.83ms, mfu 6.48%
iter 2130: loss 1.8979 BPC, time 67.14ms, mfu 6.50%
iter 2140: loss 1.9364 BPC, time 66.45ms, mfu 6.52%
iter 2150: loss 1.9017 BPC, time 65.93ms, mfu 6.54%
iter 2160: loss 1.9240 BPC, time 68.20ms, mfu 6.54%
iter 2170: loss 1.9782 BPC, time 67.16ms, mfu 6.55%
iter 2180: loss 1.8890 BPC, time 66.45ms, mfu 6.56%
iter 2190: loss 1.9997 BPC, time 66.80ms, mfu 6.57%
iter 2200: loss 1.9825 BPC, time 65.46ms, mfu 6.60%
iter 2210: loss 1.8864 BPC, time 65.55ms, mfu 6.62%
iter 2220: loss 1.9515 BPC, time 68.79ms, mfu 6.60%
iter 2230: loss 1.8925 BPC, time 65.95ms, mfu 6.62%
iter 2240: loss 1.9017 BPC, time 67.92ms, mfu 6.61%
step 2250: train loss 1.8091 BPC, val loss 1.8204 BPC
saving checkpoint to out-enwik-char
iter 2250: loss 1.9170 BPC, time 8861.92ms, mfu 5.95%
iter 2260: loss 1.8836 BPC, time 66.94ms, mfu 6.02%
iter 2270: loss 1.9398 BPC, time 67.60ms, mfu 6.08%
iter 2280: loss 1.8838 BPC, time 65.50ms, mfu 6.15%
iter 2290: loss 1.9278 BPC, time 66.59ms, mfu 6.21%
iter 2300: loss 2.0151 BPC, time 65.95ms, mfu 6.26%
iter 2310: loss 1.9580 BPC, time 68.30ms, mfu 6.29%
iter 2320: loss 1.9813 BPC, time 65.73ms, mfu 6.33%
iter 2330: loss 1.9328 BPC, time 67.75ms, mfu 6.36%
iter 2340: loss 1.8578 BPC, time 65.75ms, mfu 6.40%
iter 2350: loss 1.8424 BPC, time 66.78ms, mfu 6.43%
iter 2360: loss 1.9324 BPC, time 64.74ms, mfu 6.47%
iter 2370: loss 1.8349 BPC, time 66.28ms, mfu 6.50%
iter 2380: loss 1.8934 BPC, time 67.41ms, mfu 6.51%
iter 2390: loss 1.9271 BPC, time 68.22ms, mfu 6.51%
iter 2400: loss 1.8666 BPC, time 64.84ms, mfu 6.54%
iter 2410: loss 1.9026 BPC, time 65.90ms, mfu 6.57%
iter 2420: loss 1.9184 BPC, time 67.25ms, mfu 6.57%
iter 2430: loss 1.8972 BPC, time 66.67ms, mfu 6.58%
iter 2440: loss 1.8661 BPC, time 65.88ms, mfu 6.60%
iter 2450: loss 1.8450 BPC, time 66.75ms, mfu 6.61%
iter 2460: loss 1.8873 BPC, time 65.89ms, mfu 6.62%
iter 2470: loss 1.8877 BPC, time 66.41ms, mfu 6.63%
iter 2480: loss 1.8723 BPC, time 66.46ms, mfu 6.64%
iter 2490: loss 1.8875 BPC, time 67.34ms, mfu 6.63%
step 2500: train loss 1.7815 BPC, val loss 1.7938 BPC
saving checkpoint to out-enwik-char
iter 2500: loss 1.9250 BPC, time 8799.36ms, mfu 5.98%
iter 2510: loss 1.8763 BPC, time 62.16ms, mfu 6.09%
iter 2520: loss 1.9191 BPC, time 67.58ms, mfu 6.14%
iter 2530: loss 1.8712 BPC, time 66.02ms, mfu 6.20%
iter 2540: loss 1.8575 BPC, time 67.07ms, mfu 6.25%
iter 2550: loss 1.8542 BPC, time 67.52ms, mfu 6.28%
iter 2560: loss 1.9415 BPC, time 65.84ms, mfu 6.33%
iter 2570: loss 1.8963 BPC, time 64.89ms, mfu 6.38%
iter 2580: loss 1.9231 BPC, time 67.70ms, mfu 6.40%
iter 2590: loss 1.8799 BPC, time 67.23ms, mfu 6.42%
iter 2600: loss 1.8060 BPC, time 67.04ms, mfu 6.45%
iter 2610: loss 1.8349 BPC, time 67.36ms, mfu 6.46%
iter 2620: loss 1.8487 BPC, time 66.20ms, mfu 6.49%
iter 2630: loss 1.7238 BPC, time 65.92ms, mfu 6.52%
iter 2640: loss 1.7695 BPC, time 67.71ms, mfu 6.52%
iter 2650: loss 1.8058 BPC, time 66.03ms, mfu 6.54%
iter 2660: loss 1.9016 BPC, time 67.13ms, mfu 6.55%
iter 2670: loss 1.8797 BPC, time 67.30ms, mfu 6.56%
iter 2680: loss 1.9231 BPC, time 64.90ms, mfu 6.59%
iter 2690: loss 1.7960 BPC, time 66.69ms, mfu 6.60%
iter 2700: loss 1.8947 BPC, time 66.72ms, mfu 6.60%
iter 2710: loss 1.8763 BPC, time 67.78ms, mfu 6.60%
iter 2720: loss 1.8379 BPC, time 65.57ms, mfu 6.62%
iter 2730: loss 1.8948 BPC, time 65.37ms, mfu 6.64%
iter 2740: loss 1.7943 BPC, time 67.20ms, mfu 6.64%
step 2750: train loss 1.7594 BPC, val loss 1.7822 BPC
saving checkpoint to out-enwik-char
iter 2750: loss 1.7863 BPC, time 8816.61ms, mfu 5.98%
iter 2760: loss 1.8922 BPC, time 64.85ms, mfu 6.07%
iter 2770: loss 1.8533 BPC, time 66.38ms, mfu 6.13%
iter 2780: loss 1.8064 BPC, time 65.64ms, mfu 6.20%
iter 2790: loss 1.8515 BPC, time 67.23ms, mfu 6.24%
iter 2800: loss 1.8900 BPC, time 64.83ms, mfu 6.30%
iter 2810: loss 1.8656 BPC, time 65.90ms, mfu 6.35%
iter 2820: loss 1.8401 BPC, time 66.29ms, mfu 6.38%
iter 2830: loss 1.8684 BPC, time 65.56ms, mfu 6.42%
iter 2840: loss 1.8874 BPC, time 66.45ms, mfu 6.45%
iter 2850: loss 1.8229 BPC, time 67.18ms, mfu 6.47%
iter 2860: loss 1.9106 BPC, time 66.09ms, mfu 6.50%
iter 2870: loss 1.9274 BPC, time 67.55ms, mfu 6.51%
iter 2880: loss 1.8984 BPC, time 63.82ms, mfu 6.55%
iter 2890: loss 1.8760 BPC, time 66.03ms, mfu 6.57%
iter 2900: loss 1.8348 BPC, time 67.87ms, mfu 6.57%
iter 2910: loss 1.8578 BPC, time 65.15ms, mfu 6.60%
iter 2920: loss 1.7991 BPC, time 66.26ms, mfu 6.61%
iter 2930: loss 1.9619 BPC, time 66.07ms, mfu 6.62%
iter 2940: loss 1.8598 BPC, time 66.12ms, mfu 6.63%
iter 2950: loss 1.8839 BPC, time 66.13ms, mfu 6.64%
iter 2960: loss 1.8134 BPC, time 67.32ms, mfu 6.64%
iter 2970: loss 1.8162 BPC, time 66.44ms, mfu 6.65%
iter 2980: loss 1.8116 BPC, time 65.98ms, mfu 6.66%
iter 2990: loss 1.8498 BPC, time 66.80ms, mfu 6.66%
step 3000: train loss 1.7373 BPC, val loss 1.7572 BPC
saving checkpoint to out-enwik-char
iter 3000: loss 1.8138 BPC, time 8774.07ms, mfu 6.00%
iter 3010: loss 1.8772 BPC, time 68.10ms, mfu 6.05%
iter 3020: loss 1.8253 BPC, time 64.96ms, mfu 6.13%
iter 3030: loss 1.8283 BPC, time 65.57ms, mfu 6.20%
iter 3040: loss 1.8716 BPC, time 66.30ms, mfu 6.25%
iter 3050: loss 1.8394 BPC, time 65.53ms, mfu 6.30%
iter 3060: loss 1.8772 BPC, time 66.04ms, mfu 6.35%
iter 3070: loss 1.7053 BPC, time 65.36ms, mfu 6.39%
iter 3080: loss 1.7587 BPC, time 66.34ms, mfu 6.43%
iter 3090: loss 1.7544 BPC, time 65.83ms, mfu 6.46%
iter 3100: loss 1.8276 BPC, time 66.43ms, mfu 6.48%
iter 3110: loss 1.8401 BPC, time 65.34ms, mfu 6.52%
iter 3120: loss 1.8267 BPC, time 66.26ms, mfu 6.54%
iter 3130: loss 1.7827 BPC, time 65.25ms, mfu 6.57%
iter 3140: loss 1.7982 BPC, time 66.67ms, mfu 6.58%
iter 3150: loss 1.8151 BPC, time 64.84ms, mfu 6.61%
iter 3160: loss 1.7605 BPC, time 65.67ms, mfu 6.62%
iter 3170: loss 1.8798 BPC, time 65.12ms, mfu 6.64%
iter 3180: loss 1.8141 BPC, time 66.58ms, mfu 6.65%
iter 3190: loss 1.8404 BPC, time 67.08ms, mfu 6.65%
iter 3200: loss 1.7911 BPC, time 65.73ms, mfu 6.66%
iter 3210: loss 1.7994 BPC, time 67.23ms, mfu 6.66%
iter 3220: loss 1.8612 BPC, time 67.14ms, mfu 6.65%
iter 3230: loss 1.8274 BPC, time 66.06ms, mfu 6.66%
iter 3240: loss 1.7820 BPC, time 67.56ms, mfu 6.65%
step 3250: train loss 1.7196 BPC, val loss 1.7378 BPC
saving checkpoint to out-enwik-char
iter 3250: loss 1.7425 BPC, time 8788.73ms, mfu 5.99%
iter 3260: loss 1.9426 BPC, time 62.92ms, mfu 6.10%
iter 3270: loss 1.8125 BPC, time 65.73ms, mfu 6.17%
iter 3280: loss 1.7706 BPC, time 65.06ms, mfu 6.24%
iter 3290: loss 1.8005 BPC, time 64.75ms, mfu 6.30%
iter 3300: loss 1.8054 BPC, time 66.27ms, mfu 6.34%
iter 3310: loss 1.7454 BPC, time 65.03ms, mfu 6.39%
iter 3320: loss 1.8171 BPC, time 65.04ms, mfu 6.44%
iter 3330: loss 1.8628 BPC, time 65.95ms, mfu 6.47%
iter 3340: loss 1.8045 BPC, time 67.32ms, mfu 6.48%
iter 3350: loss 1.8669 BPC, time 65.55ms, mfu 6.51%
iter 3360: loss 1.7866 BPC, time 65.70ms, mfu 6.54%
iter 3370: loss 1.7718 BPC, time 66.55ms, mfu 6.56%
iter 3380: loss 1.8046 BPC, time 66.13ms, mfu 6.57%
iter 3390: loss 1.8424 BPC, time 65.75ms, mfu 6.59%
iter 3400: loss 1.8546 BPC, time 65.50ms, mfu 6.61%
iter 3410: loss 1.8489 BPC, time 64.24ms, mfu 6.65%
iter 3420: loss 1.7540 BPC, time 65.77ms, mfu 6.66%
iter 3430: loss 1.8071 BPC, time 68.17ms, mfu 6.64%
iter 3440: loss 1.7630 BPC, time 64.50ms, mfu 6.67%
iter 3450: loss 1.7769 BPC, time 65.77ms, mfu 6.68%
iter 3460: loss 1.7736 BPC, time 64.21ms, mfu 6.71%
iter 3470: loss 1.8588 BPC, time 66.64ms, mfu 6.70%
iter 3480: loss 1.7447 BPC, time 64.78ms, mfu 6.72%
iter 3490: loss 1.7210 BPC, time 65.46ms, mfu 6.73%
step 3500: train loss 1.6884 BPC, val loss 1.7169 BPC
saving checkpoint to out-enwik-char
iter 3500: loss 1.8333 BPC, time 8763.24ms, mfu 6.06%
iter 3510: loss 1.7822 BPC, time 62.91ms, mfu 6.16%
iter 3520: loss 1.8431 BPC, time 66.88ms, mfu 6.21%
iter 3530: loss 1.6972 BPC, time 66.60ms, mfu 6.26%
iter 3540: loss 1.7876 BPC, time 68.22ms, mfu 6.29%
iter 3550: loss 1.7355 BPC, time 65.79ms, mfu 6.33%
iter 3560: loss 1.7237 BPC, time 64.58ms, mfu 6.39%
iter 3570: loss 1.7524 BPC, time 67.07ms, mfu 6.41%
iter 3580: loss 1.7775 BPC, time 66.01ms, mfu 6.45%
iter 3590: loss 1.7577 BPC, time 64.99ms, mfu 6.49%
iter 3600: loss 1.6598 BPC, time 66.05ms, mfu 6.51%
iter 3610: loss 1.7933 BPC, time 64.45ms, mfu 6.55%
iter 3620: loss 1.7664 BPC, time 66.91ms, mfu 6.56%
iter 3630: loss 1.7547 BPC, time 65.85ms, mfu 6.58%
iter 3640: loss 1.8110 BPC, time 66.89ms, mfu 6.59%
iter 3650: loss 1.8433 BPC, time 65.09ms, mfu 6.62%
iter 3660: loss 1.7585 BPC, time 66.51ms, mfu 6.62%
iter 3670: loss 1.7924 BPC, time 66.34ms, mfu 6.63%
iter 3680: loss 1.7909 BPC, time 66.42ms, mfu 6.64%
iter 3690: loss 1.7469 BPC, time 65.34ms, mfu 6.66%
iter 3700: loss 1.7245 BPC, time 65.16ms, mfu 6.67%
iter 3710: loss 1.7675 BPC, time 65.86ms, mfu 6.68%
iter 3720: loss 1.7561 BPC, time 65.87ms, mfu 6.69%
iter 3730: loss 1.7494 BPC, time 65.93ms, mfu 6.70%
iter 3740: loss 1.7567 BPC, time 66.10ms, mfu 6.70%
step 3750: train loss 1.6830 BPC, val loss 1.7079 BPC
saving checkpoint to out-enwik-char
iter 3750: loss 1.7973 BPC, time 8781.54ms, mfu 6.04%
iter 3760: loss 1.7390 BPC, time 69.04ms, mfu 6.08%
iter 3770: loss 1.7131 BPC, time 65.18ms, mfu 6.15%
iter 3780: loss 1.8007 BPC, time 65.94ms, mfu 6.21%
iter 3790: loss 1.7549 BPC, time 65.67ms, mfu 6.27%
